category,method,route,purpose,request_schema,response_schema,authentication,frontend_caller,backend_handler,database_effect,filesystem_effect,ai_provider_use,status,evidence
visual planning,PUT,/api/v1/videos/{video_id}/plan/slide-cues,Update plan slide cues,video_id: str,EditPlanResponse,None implemented,No direct static match found,update_plan_slide_cues,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:929 update_plan_slide_cues
edit plans,PUT,/api/v1/videos/{video_id}/plan/editorial-blocks,Update plan editorial blocks,video_id: str,EditPlanResponse,None implemented,No direct static match found,update_plan_editorial_blocks,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:961 update_plan_editorial_blocks
visual planning,POST,/api/v1/videos/{video_id}/plan/layout-cues/auto,Auto generate plan layout cues,video_id: str,EditPlanResponse,None implemented,No direct static match found,auto_generate_plan_layout_cues,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:993 auto_generate_plan_layout_cues
edit plans,PUT,/api/v1/videos/{video_id}/plan/annotations,Update plan annotations,video_id: str,EditPlanResponse,None implemented,No direct static match found,update_plan_annotations,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1060 update_plan_annotations
edit plans,PUT,/api/v1/videos/{video_id}/plan/educational-overlays,Update plan educational overlays,video_id: str,EditPlanResponse,None implemented,No direct static match found,update_plan_educational_overlays,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1083 update_plan_educational_overlays
edit plans,PUT,/api/v1/videos/{video_id}/plan/end-cards,Update plan end cards,video_id: str,EditPlanResponse,None implemented,No direct static match found,update_plan_end_cards,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1106 update_plan_end_cards
rendering/export,GET,/api/v1/export/presets,Get export presets,None/path-query only,ExportPresetCatalogResponse,None implemented,No direct static match found,get_export_presets,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1129 get_export_presets
edit plans,POST,/api/v1/videos/{video_id}/plan/approve,Approve edit plan,video_id: str,handler-defined,None implemented,No direct static match found,approve_edit_plan,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1135 approve_edit_plan
rendering/export,POST,/api/v1/videos/{video_id}/render/cancel,Cancel render,video_id: str,handler-defined,None implemented,No direct static match found,cancel_render,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1206 cancel_render
edit plans,POST,/api/v1/videos/{video_id}/plan/revalidate,Revalidate plan,video_id: str,handler-defined,None implemented,No direct static match found,revalidate_plan,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1262 revalidate_plan
rendering/export,GET,/api/v1/videos/{video_id}/chapters,Get chapters,video_id: str,TopicSegmentationResponse,None implemented,desktop/src/lib/api.ts:792 getChapters,get_chapters,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1281 get_chapters
rendering/export,POST,/api/v1/videos/{video_id}/section-clips/export,Export section clips,video_id: str,handler-defined,None implemented,No direct static match found,export_section_clips,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1337 export_section_clips
videos,GET,/api/v1/videos/{video_id}/section-clips/manifest,Download section clip manifest,video_id: str,handler-defined,None implemented,No direct static match found,download_section_clip_manifest,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1400 download_section_clip_manifest
videos,GET,/api/v1/videos/{video_id}/section-clips/{clip_index}/download,Download section clip,video_id: str; clip_index: int,handler-defined,None implemented,No direct static match found,download_section_clip,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1411 download_section_clip
evaluation/logging,GET,/api/v1/videos/{video_id}/report,Get quality report,video_id: str,handler-defined,None implemented,No direct static match found,get_quality_report,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1501 get_quality_report
evaluation/logging,GET,/api/v1/videos/{video_id}/mode-comparison,Get mode comparison report,video_id: str,handler-defined,None implemented,No direct static match found,get_mode_comparison_report,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1510 get_mode_comparison_report
assets,POST,/api/v1/materials/upload,Upload course material,file: UploadFile,CourseMaterialUploadResponse,None implemented,No direct static match found,upload_course_material,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1520 upload_course_material
materials/RAG,GET,/api/v1/materials,List course materials,None/path-query only,None,None implemented,No direct static match found,list_course_materials,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1593 list_course_materials
materials/RAG,DELETE,/api/v1/materials/{material_id},Delete course material,material_id: str,handler-defined,None implemented,No direct static match found,delete_course_material,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1602 delete_course_material
health/settings,GET,/api/v1/settings,Get settings,None/path-query only,AppSettingsResponse,None implemented,desktop/src/lib/api.ts:837 getSettings; desktop/src/lib/api.ts:841 getAISettings; desktop/src/lib/api.ts:845 updateAISettings,get_settings,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1625 get_settings
health/settings,GET,/api/v1/settings/ai,Get ai settings,None/path-query only,AppSettingsResponse,None implemented,No direct static match found,get_ai_settings,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1632 get_ai_settings
health/settings,PUT,/api/v1/settings/ai,Update settings,None/path-query only,AppSettingsResponse,None implemented,No direct static match found,update_settings,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1639 update_settings
health/settings,PUT,/api/v1/settings/domain-terms,Update domain terms,None/path-query only,handler-defined,None implemented,No direct static match found,update_domain_terms,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1648 update_domain_terms
videos,GET,/api/v1/videos/{video_id}/stream,Stream original video,video_id: str,handler-defined,None implemented,No direct static match found,stream_original_video,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1674 stream_original_video
rendering/export,GET,/api/v1/videos/{video_id}/download,Download rendered video,video_id: str,handler-defined,None implemented,No direct static match found,download_rendered_video,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1692 download_rendered_video
rendering/export,GET,/api/v1/videos/{video_id}/subtitles,Download subtitles,video_id: str,handler-defined,None implemented,No direct static match found,download_subtitles,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1728 download_subtitles
rendering/export,GET,/api/v1/videos/{video_id}/subtitles/vtt,Download subtitles vtt,video_id: str,handler-defined,None implemented,No direct static match found,download_subtitles_vtt,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1744 download_subtitles_vtt
rendering/export,GET,/api/v1/videos/{video_id}/chapters/download,Download chapters,video_id: str,handler-defined,None implemented,No direct static match found,download_chapters,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1760 download_chapters
edit plans,GET,/api/v1/videos/{video_id}/plan/export,Download plan export,video_id: str,handler-defined,None implemented,No direct static match found,download_plan_export,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1776 download_plan_export
rendering/export,GET,/api/v1/videos/{video_id}/report/export,Download quality report export,video_id: str,handler-defined,None implemented,No direct static match found,download_quality_report_export,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1792 download_quality_report_export
rendering/export,GET,/api/v1/videos/{video_id}/mode-comparison/export,Download mode comparison export,video_id: str,handler-defined,None implemented,No direct static match found,download_mode_comparison_export,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1809 download_mode_comparison_export
evaluation/logging,GET,/api/v1/videos/{video_id}/mode-comparison/summary,Download mode comparison summary,video_id: str,handler-defined,None implemented,No direct static match found,download_mode_comparison_summary,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1826 download_mode_comparison_summary
rendering/export,GET,/api/v1/videos/{video_id}/evidence/export,Download academic evidence export,video_id: str,handler-defined,None implemented,No direct static match found,download_academic_evidence_export,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1843 download_academic_evidence_export
videos,GET,/api/v1/videos/{video_id}/evidence/summary,Download academic evidence summary,video_id: str,handler-defined,None implemented,No direct static match found,download_academic_evidence_summary,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1860 download_academic_evidence_summary
evaluation/logging,GET,/api/v1/videos/{video_id}/evidence/before-after,Download before after comparison,video_id: str,handler-defined,None implemented,No direct static match found,download_before_after_comparison,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1877 download_before_after_comparison
videos,GET,/api/v1/videos/{video_id}/evidence/timeline-decisions,Download timeline decisions,video_id: str,handler-defined,None implemented,No direct static match found,download_timeline_decisions,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1894 download_timeline_decisions
videos,GET,/api/v1/videos/{video_id}/evidence/provider-mode,Download provider mode trace,video_id: str,handler-defined,None implemented,No direct static match found,download_provider_mode_trace,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1911 download_provider_mode_trace
evaluation/logging,GET,/api/v1/videos/{video_id}/evidence/metrics-summary,Download metrics summary,video_id: str,handler-defined,None implemented,No direct static match found,download_metrics_summary,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1928 download_metrics_summary
videos,GET,/api/v1/videos/{video_id}/evidence/bundle,Download academic evidence bundle,video_id: str,handler-defined,None implemented,No direct static match found,download_academic_evidence_bundle,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1945 download_academic_evidence_bundle
rendering/export,GET,/api/v1/videos/{video_id}/exports,List exports,video_id: str,handler-defined,None implemented,desktop/src/lib/api.ts:906 exportSectionClips,list_exports,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/api/routes/videos.py:1964 list_exports
videos,GET,/,Root,None/path-query only,handler-defined,None implemented,No direct static match found,root,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/main.py:98 root
health/settings,GET,/health,Health check,None/path-query only,handler-defined,None implemented,No direct static match found,health_check,Handler-specific; inspect cited symbol,Handler-specific; uploads/renders may write files,Handler-specific; analysis/transcription/RAG routes may call providers,IMPLEMENTED_AND_CONNECTED,backend/app/main.py:108 health_check
